#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,_result,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,prop1
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:29:36.107Z,22,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:29:38.045Z,22.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:29:40Z,31.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:29:41.919Z,25,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:29:43.861Z,32.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:29:45.778Z,29.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:29:47.739Z,29,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:29:48.753Z,29,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:29:50.635Z,29,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:29:52.562Z,29.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:29:54.517Z,28.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:29:56.446Z,20.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:29:57.517Z,25.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:29:59.34Z,10,angleApparent,environment,wind

